epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1328.99,1.01187,1.00386,1.10258,0.81537,0.6705,0.71261,0.4868,1.15931,1.37361,1.27892,0.000990365,0.000990365,0.000990365
43,1348.82,1.01938,1.05239,1.13655,0.7677,0.69684,0.7124,0.49316,1.24492,1.44044,1.32728,0.000973861,0.000973861,0.000973861
44,1370.52,1.07165,0.99382,1.15253,0.77531,0.68056,0.65881,0.47729,1.19001,1.36704,1.30292,0.000957358,0.000957358,0.000957358
45,1388.51,1.11684,1.08058,1.1994,0.74406,0.67063,0.67423,0.46528,1.17736,1.34209,1.3011,0.000940855,0.000940855,0.000940855
46,1405.84,1.03465,1.02604,1.12457,0.72249,0.69923,0.68057,0.46414,1.20448,1.38206,1.32056,0.000924352,0.000924352,0.000924352
47,1424.87,1.01305,0.91551,1.10992,0.77965,0.67063,0.71018,0.49042,1.21596,1.38423,1.3472,0.000907848,0.000907848,0.000907848
48,1444.51,1.05334,1.00707,1.11521,0.72203,0.68273,0.68204,0.48214,1.34934,1.40881,1.48729,0.000891345,0.000891345,0.000891345
49,1462.94,0.9956,0.95954,1.10695,0.71218,0.6472,0.64602,0.43583,1.33529,1.48223,1.44928,0.000874842,0.000874842,0.000874842
50,1480.73,1.00635,0.93408,1.09871,0.73047,0.66217,0.68312,0.47526,1.28799,1.41399,1.41548,0.000858338,0.000858338,0.000858338
51,1498.67,1.0186,0.95099,1.12705,0.77049,0.69936,0.68315,0.44505,1.21949,1.41015,1.41954,0.000841835,0.000841835,0.000841835
52,1515.93,0.92126,0.91178,1.078,0.78952,0.64608,0.71631,0.50591,1.21001,1.35437,1.34955,0.000825332,0.000825332,0.000825332
53,1533.72,0.96232,0.90105,1.09642,0.71437,0.77183,0.7154,0.49032,1.21786,1.35122,1.35177,0.000808828,0.000808828,0.000808828
54,1550.97,0.95102,0.94307,1.10662,0.69699,0.73413,0.72102,0.47854,1.22447,1.30553,1.37983,0.000792325,0.000792325,0.000792325
55,1568.52,0.94333,0.91233,1.0771,0.76057,0.67458,0.69076,0.48163,1.18677,1.35204,1.29816,0.000775822,0.000775822,0.000775822
56,1586.17,0.96957,0.93593,1.0822,0.75363,0.73688,0.72092,0.52281,1.16533,1.19506,1.26616,0.000759318,0.000759318,0.000759318
57,1603.95,0.91011,0.82901,1.07322,0.78463,0.76901,0.75728,0.54094,1.24544,1.15624,1.33564,0.000742815,0.000742815,0.000742815
58,1621.33,0.90976,0.85359,1.07907,0.7731,0.75927,0.73602,0.51496,1.18008,1.33207,1.25883,0.000726312,0.000726312,0.000726312
59,1638.86,0.90314,0.8379,1.06464,0.70203,0.78968,0.71114,0.51951,1.09765,1.33765,1.24521,0.000709809,0.000709809,0.000709809
60,1657.48,0.87927,0.82789,1.05645,0.72029,0.75703,0.71761,0.52852,1.12138,1.33919,1.25659,0.000693305,0.000693305,0.000693305
61,1675.36,0.96361,0.94912,1.08962,0.69251,0.67063,0.68826,0.52046,1.0915,1.46,1.22237,0.000676802,0.000676802,0.000676802
62,1692.94,0.83062,0.76658,1.0443,0.70081,0.70833,0.67121,0.48268,1.13511,1.44565,1.21038,0.000660299,0.000660299,0.000660299
63,1710.51,0.9231,0.86017,1.05527,0.73537,0.67063,0.69768,0.47739,1.19403,1.36738,1.2377,0.000643795,0.000643795,0.000643795
64,1728.61,0.85435,0.78891,1.04393,0.77155,0.69642,0.72252,0.51339,1.08101,1.26782,1.17907,0.000627292,0.000627292,0.000627292
65,1746.02,0.94612,0.84028,1.1046,0.73629,0.69225,0.72822,0.53113,1.0912,1.19212,1.17714,0.000610789,0.000610789,0.000610789
66,1763.55,0.91425,0.82011,1.0842,0.74231,0.80754,0.74567,0.55254,1.08476,1.16167,1.19663,0.000594286,0.000594286,0.000594286
67,1781.43,0.88277,0.81177,1.05762,0.77367,0.78968,0.78508,0.55422,1.11127,1.15251,1.23814,0.000577782,0.000577782,0.000577782
68,1799.07,0.86561,0.76778,1.05792,0.78475,0.74917,0.76619,0.54789,1.07978,1.17509,1.20319,0.000561279,0.000561279,0.000561279
69,1816.53,0.87511,0.77779,1.03436,0.77919,0.77183,0.76585,0.54117,1.06632,1.20731,1.19516,0.000544776,0.000544776,0.000544776
70,1833.32,0.8939,0.77714,1.06372,0.76578,0.76423,0.73033,0.52213,1.106,1.31651,1.2325,0.000528272,0.000528272,0.000528272
71,1851.37,0.90971,0.80984,1.07917,0.72075,0.77161,0.70261,0.51794,1.13746,1.30583,1.26124,0.000511769,0.000511769,0.000511769
72,1868.72,0.83545,0.73959,1.0263,0.75644,0.72868,0.71949,0.53053,1.08907,1.30299,1.20513,0.000495266,0.000495266,0.000495266
73,1886.09,0.85333,0.72894,1.03525,0.75079,0.75762,0.73279,0.56093,0.97259,1.30692,1.12533,0.000478762,0.000478762,0.000478762
74,1903.94,0.8278,0.69724,1.02398,0.76975,0.76182,0.72061,0.52102,1.00462,1.27491,1.12136,0.000462259,0.000462259,0.000462259
75,1921.24,0.81507,0.71226,1.02624,0.78941,0.69383,0.74036,0.55742,1.02098,1.25873,1.11182,0.000445756,0.000445756,0.000445756
76,1938.53,0.83616,0.73278,1.03506,0.79743,0.69625,0.75601,0.55002,1.07459,1.2455,1.16641,0.000429253,0.000429253,0.000429253
77,1955.36,0.83018,0.74056,1.0423,0.72728,0.71627,0.75971,0.56251,1.08221,1.21676,1.17096,0.000412749,0.000412749,0.000412749
78,1972.69,0.83456,0.74581,1.02804,0.8324,0.68011,0.75612,0.56459,1.08493,1.29592,1.19885,0.000396246,0.000396246,0.000396246
79,1990.71,0.79101,0.7238,1.01748,0.77285,0.71678,0.74625,0.54836,1.11148,1.30545,1.24188,0.000379743,0.000379743,0.000379743
80,2008.65,0.85738,0.74014,1.04624,0.81407,0.71627,0.73028,0.51596,1.11247,1.21928,1.25312,0.000363239,0.000363239,0.000363239
81,2026.5,0.83449,0.8133,1.01838,0.80345,0.71627,0.74013,0.5253,1.07268,1.22767,1.22636,0.000346736,0.000346736,0.000346736
82,2043.91,0.7676,0.71217,0.99761,0.79385,0.71627,0.74203,0.54187,1.0453,1.19913,1.1967,0.000330233,0.000330233,0.000330233
83,2061.88,0.77757,0.69164,1.03179,0.78243,0.73413,0.74366,0.53237,1.06992,1.20988,1.23981,0.000313729,0.000313729,0.000313729
84,2079.21,0.78998,0.69916,1.03213,0.81128,0.76509,0.75782,0.54169,1.12446,1.18496,1.28075,0.000297226,0.000297226,0.000297226
85,2096.36,0.77579,0.69399,1.0226,0.82686,0.73377,0.75273,0.54927,1.11198,1.17308,1.24827,0.000280723,0.000280723,0.000280723
86,2113.81,0.74511,0.6591,0.99057,0.8095,0.77193,0.75117,0.53887,1.09539,1.21427,1.22956,0.00026422,0.00026422,0.00026422
87,2131.34,0.75661,0.66528,0.99193,0.78992,0.75747,0.75622,0.56212,1.07339,1.20448,1.23036,0.000247716,0.000247716,0.000247716
88,2148.53,0.81947,0.6707,1.03074,0.80562,0.78968,0.77536,0.56579,1.08645,1.20673,1.23425,0.000231213,0.000231213,0.000231213
89,2167.36,0.77453,0.65633,1.01117,0.80912,0.78962,0.76266,0.5352,1.0953,1.20658,1.24207,0.00021471,0.00021471,0.00021471
90,2186,0.71995,0.63305,0.98694,0.81397,0.76121,0.76034,0.54599,1.08983,1.18028,1.24496,0.000198206,0.000198206,0.000198206
91,2203.23,0.6447,0.62481,0.94637,0.76733,0.76537,0.76412,0.5494,1.07615,1.16408,1.23572,0.000181703,0.000181703,0.000181703
92,2219.78,0.60997,0.56257,0.89209,0.79231,0.7147,0.73265,0.55876,1.05223,1.10552,1.21336,0.0001652,0.0001652,0.0001652
93,2236.7,0.58009,0.5542,0.89537,0.8111,0.71451,0.75447,0.55226,1.06521,1.11176,1.2119,0.000148696,0.000148696,0.000148696
94,2254.26,0.62528,0.5566,0.91628,0.80036,0.71627,0.75822,0.52466,1.08546,1.14836,1.23172,0.000132193,0.000132193,0.000132193
95,2271.66,0.61293,0.56291,0.9263,0.78711,0.71627,0.74509,0.54557,1.06206,1.13325,1.22941,0.00011569,0.00011569,0.00011569
96,2288.55,0.60359,0.51323,0.90743,0.77286,0.75198,0.7483,0.55357,1.03533,1.12199,1.211,9.91865e-05,9.91865e-05,9.91865e-05
97,2305.36,0.59154,0.55905,0.9587,0.78727,0.78006,0.74873,0.55007,1.04012,1.15616,1.20301,8.26832e-05,8.26832e-05,8.26832e-05
98,2322.91,0.58672,0.52738,0.90837,0.79994,0.76699,0.74451,0.54545,1.01597,1.17191,1.19085,6.61799e-05,6.61799e-05,6.61799e-05
99,2340.4,0.6017,0.52901,0.92144,0.77729,0.77255,0.75006,0.55221,1.01383,1.17337,1.18472,4.96766e-05,4.96766e-05,4.96766e-05
100,2357.19,0.59653,0.52836,0.91736,0.76215,0.76918,0.74723,0.54859,1.02243,1.18292,1.18596,3.31733e-05,3.31733e-05,3.31733e-05
